No,제품명,태그
1,공기청정기,#가전_환경 #공기질관리 #털제거 #펫냄새제거 #알레르겐저감 #호흡기케어 #실내생활 #펫가구공존
2,휴대공기청정기,#가전_환경 #이동형 #차량동반 #펫이동 #털날림관리 #차량공기질 #외출스트레스완화
3,가습기,#가전_환경 #습도관리 #건조환경개선 #코건강 #피부보습 #겨울철케어 #정전기완화
4,제습기,#가전_환경 #습기제거 #장마철 #피부병예방 #곰팡이억제 #펫공간관리
5,에어컨,#가전_환경 #온도조절 #여름열사병예방 #실내온도유지 #펫안전 #원격제어
6,정수기,#가전_주방 #급수위생 #음수량증가 #물때관리 #직수 #살균 #펫수분관리
7,식기세척기,#가전_주방 #식기위생 #사료그릇세척 #침자국제거 #고온살균 #펫세균관리
8,오븐,#가전_주방 #펫간식제조 #수제간식 #건강식 #에어프라이 #영양관리
9,냉장고,#가전_주방 #펫푸드보관 #생식보관 #화식관리 #약품보관 #사람음식분리
10,세탁기,#가전_세탁 #털제거 #펫냄새제거 #침구관리 #의류위생 #알레르겐저감
11,건조기,#가전_세탁 #털떨이 #냄새완화 #펫침구건조 #위생관리
12,스타일러,#가전_의류관리 #살균 #리드줄관리 #펫의류 #장난감소독 #트루스팀
13,무선청소기,#가전_청소 #털청소 #바닥관리 #소파청소 #펫존청소 #일상청결
14,로봇청소기,#가전_청소 #자동청소 #부재중관리 #펫모니터링 #사고예방 #스마트홈
15,식물가전,#가전_라이프스타일 #펫안전식물 #밀싹재배 #플랜테리어 #정서안정
16,TV,#가전_엔터테인먼트 #펫영상 #도그TV #대화면자극 #정서안정 #콘텐츠허브
17,프로젝터,#가전_엔터테인먼트 #대형화면 #자연영상 #펫시각자극 #공간몰입
18,사운드바,#가전_엔터테인먼트 #화이트노이즈 #외부소음차단 #분리불안완화 #청각안정
19,씽큐,#플랫폼 #스마트홈 #원격제어 #펫환경관리 #자동화시나리오 #앱중심
20,webOS,#플랫폼 #콘텐츠허브 #스마트홈중앙 #환경제어UI #펫모드확장
21,AI로봇,#미래가전 #펫상호작용 #행동인식 #홈모니터링 #자동대응
22,신발관리기,#가전_위생 #산책후관리 #오염제거 #냄새제거 #외부세균차단
